                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.1373,                0.84214,                 1.1239,                 0.3283,                0.28098,                0.32422,                0.08356,                 2.9002,                 3.7822,                 2.6408,              0.0014778,              0.0014778,              0.0014778
                    105,                 1.1238,                0.82172,                 1.1442,                0.31215,                0.28956,                0.30701,                0.11141,                 2.7572,                 4.1139,                 2.4504,              0.0014687,              0.0014687,              0.0014687
                    106,                 1.1243,                0.84528,                 1.1221,                0.35007,                0.30135,                0.32618,                0.14991,                 2.7793,                 3.9399,                 2.4407,              0.0014595,              0.0014595,              0.0014595
                    107,                 1.1203,                0.82839,                  1.122,                0.37723,                0.10194,                0.12692,                0.04288,                 2.8074,                 4.2095,                 2.4685,              0.0014502,              0.0014502,              0.0014502
                    108,                 1.0909,                0.84663,                 1.1115,                0.34172,                0.11953,                0.16166,                0.05162,                 2.7511,                 4.1572,                 2.4421,              0.0014409,              0.0014409,              0.0014409
                    109,                 1.1209,                0.85788,                 1.1158,                0.30597,                0.11953,                0.29796,                0.06008,                  2.865,                 3.9882,                 2.5633,              0.0014315,              0.0014315,              0.0014315
                    110,                 1.1069,                0.83944,                 1.1214,                 0.3655,                0.11953,                0.18967,                0.05966,                 2.8003,                 4.0943,                 2.4664,              0.0014221,              0.0014221,              0.0014221
                    111,                 1.0803,                  0.804,                 1.0997,                0.38738,                 0.1229,                0.30571,                0.08018,                 2.8756,                  4.445,                 2.4931,              0.0014127,              0.0014127,              0.0014127
                    112,                 1.0998,                0.81889,                 1.1203,                0.37438,                0.14334,                0.25933,                0.07451,                 2.8932,                  4.249,                 2.4726,              0.0014032,              0.0014032,              0.0014032
                    113,                 1.1053,                   0.84,                  1.117,                0.24957,                0.29918,                0.32613,                0.09375,                 2.8642,                 4.1688,                 2.5282,              0.0013936,              0.0013936,              0.0013936
